"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2023","399.354","400.030","401.199","398.634","","-0.07%"
"11/09/2023","399.627","403.578","404.988","399.638","","-0.88%"
"11/08/2023","403.157","403.116","404.154","401.128","","0.09%"
"11/07/2023","402.792","403.340","404.124","401.854","","-0.06%"
"11/06/2023","403.032","406.681","408.639","403.112","","-0.87%"
"11/03/2023","406.552","401.347","407.354","400.820","","1.36%"
"11/02/2023","401.108","398.250","402.252","397.790","","0.81%"
"11/01/2023","397.880","398.364","398.741","396.414","","-0.02%"
"10/31/2023","397.978","398.280","400.040","397.184","","0.02%"
"10/30/2023","397.894","396.727","398.460","395.629","","0.29%"
"10/27/2023","396.753","396.283","398.233","395.718","","0.21%"
"10/26/2023","395.914","395.424","396.690","394.082","","0.20%"
"10/25/2023","395.121","398.436","399.024","395.187","","-0.62%"
"10/24/2023","397.599","399.469","402.521","397.995","","-0.39%"
"10/23/2023","399.162","396.112","399.844","395.233","","0.85%"
"10/20/2023","395.808","394.376","396.503","392.855","","0.47%"
"10/19/2023","393.975","394.066","395.952","392.499","","0.01%"
"10/18/2023","393.943","395.034","396.471","393.921","","-0.16%"
"10/17/2023","394.567","395.737","396.043","393.413","","-0.30%"
"10/16/2023","395.741","392.816","395.883","392.616","","0.84%"
"10/13/2023","392.458","394.272","396.042","392.282","","-0.26%"
"10/12/2023","393.492","398.633","399.197","393.900","","-1.23%"
"10/11/2023","398.384","397.714","399.475","396.846","","0.24%"
"10/10/2023","397.420","396.160","397.924","394.704","","0.41%"
"10/09/2023","395.802","396.138","396.371","393.396","","-0.10%"
"10/06/2023","396.205","395.082","397.305","392.218","","0.33%"
"10/05/2023","394.895","392.767","395.244","391.882","","0.73%"
"10/04/2023","392.038","391.198","394.111","389.645","","0.36%"
"10/03/2023","390.626","391.992","392.354","390.139","","-0.28%"
"10/02/2023","391.707","395.313","396.282","391.798","","-0.80%"
"09/29/2023","394.878","395.280","397.646","394.616","","0.00%"
"09/28/2023","394.878","393.174","396.122","392.672","","0.52%"
"09/27/2023","392.838","393.616","394.072","391.483","","-0.12%"
"09/26/2023","393.311","396.182","396.442","393.405","","-0.59%"
"09/25/2023","395.636","397.383","398.122","395.680","","-0.22%"
"09/22/2023","396.511","398.552","399.109","396.440","","-0.30%"
"09/21/2023","397.711","400.725","400.953","396.641","","-0.56%"
"09/20/2023","399.946","402.121","403.110","400.158","","-0.37%"
"09/19/2023","401.436","402.000","403.208","400.576","","-0.01%"
"09/18/2023","401.486","400.190","402.730","399.835","","0.46%"
