Date,District,RF,T max ,T min,Avg_tem
10/1/2013,Colombo,0,31.1,25.8,28.45
10/2/2013,Colombo,0,31.3,27.5,29.4
10/3/2013,Colombo,1.6,31.3,27.3,29.3
10/4/2013,Colombo,5.8,30.7,25.7,28.2
10/5/2013,Colombo,0.3,30.8,24.4,27.6
10/6/2013,Colombo,2.5,31,25.1,28.05
10/7/2013,Colombo,13.2,31.1,24.4,27.75
10/8/2013,Colombo,0,30.5,24.8,27.65
10/9/2013,Colombo,3.4,30.9,27.3,29.1
10/10/2013,Colombo,6.2,29.8,26.3,28.05
10/11/2013,Colombo,5.5,30.7,26.1,28.4
10/12/2013,Colombo,2,30.3,25.6,27.95
10/13/2013,Colombo,0.4,30.4,26.1,28.25
10/14/2013,Colombo,1.6,30.8,25.4,28.1
10/15/2013,Colombo,0,30.8,25.7,28.25
10/16/2013,Colombo,24.6,30.5,27.2,28.85
10/17/2013,Colombo,2.1,30.4,25,27.7
10/18/2013,Colombo,18.2,30.3,24.2,27.25
10/19/2013,Colombo,23.7,27.5,23.9,25.7
10/20/2013,Colombo,0.1,29.5,23.9,26.7
10/21/2013,Colombo,8.1,30.3,26.4,28.35
10/22/2013,Colombo,1.6,30.5,24.9,27.7
10/23/2013,Colombo,0.5,30.9,26.9,28.9
10/24/2013,Colombo,1.9,30.5,25.9,28.2
10/25/2013,Colombo,0,30.4,25.1,27.75
10/26/2013,Colombo,1.2,30.5,24.6,27.55
10/27/2013,Colombo,0,30.6,24.9,27.75
10/28/2013,Colombo,0,30.9,25.7,28.3
10/29/2013,Colombo,0.5,30.5,25,27.75
10/30/2013,Colombo,7.1,30.8,24.3,27.55
10/31/2013,Colombo,8.2,30.4,24.2,27.3
11/1/2013,Colombo,9.2,31.2,23.4,27.3
11/2/2013,Colombo,18,30.7,23.9,27.3
11/3/2013,Colombo,2.8,30.6,23.4,27
11/4/2013,Colombo,3.1,30.8,24.8,27.8
11/5/2013,Colombo,3,30.9,24.5,27.7
11/6/2013,Colombo,0,31,24.6,27.8
11/7/2013,Colombo,5.1,31.3,23.8,27.55
11/8/2013,Colombo,3.5,31.3,23.6,27.45
11/9/2013,Colombo,21.2,31.7,24.5,28.1
11/10/2013,Colombo,8.8,29.6,24.7,27.15
11/11/2013,Colombo,0,32,24.5,28.25
11/12/2013,Colombo,0.3,31.4,25.3,28.35
11/13/2013,Colombo,0,28.9,25.1,27
11/14/2013,Colombo,0,31.5,24.8,28.15
11/15/2013,Colombo,0,31,24.7,27.85
11/16/2013,Colombo,0,31,24,27.5
11/17/2013,Colombo,0,31.3,25.4,28.35
11/18/2013,Colombo,0,31.1,24.7,27.9
11/19/2013,Colombo,19.7,30.9,23.9,27.4
11/20/2013,Colombo,0,31.3,23.2,27.25
11/21/2013,Colombo,0,30.8,24,27.4
11/22/2013,Colombo,17.4,30.9,25.2,28.05
11/23/2013,Colombo,14.1,30.8,24.5,27.65
11/24/2013,Colombo,1.6,29.7,23.8,26.75
11/25/2013,Colombo,0.6,30.9,23.9,27.4
11/26/2013,Colombo,0,31,23.9,27.45
11/27/2013,Colombo,0,31,23.7,27.35
11/28/2013,Colombo,0,30.7,23.3,27
11/29/2013,Colombo,15.7,30.7,24.8,27.75
11/30/2013,Colombo,60.6,32.5,24.5,28.5
12/1/2013,Colombo,0.4,30.3,23.2,26.75
12/2/2013,Colombo,0,30.8,24.1,27.45
12/3/2013,Colombo,0,31.6,23.9,27.75
12/4/2013,Colombo,0,31.5,24.5,28
12/5/2013,Colombo,0,29.9,24.3,27.1
12/6/2013,Colombo,0,30.2,23.9,27.05
12/7/2013,Colombo,0,30.2,24.3,27.25
