Product Name,Units Sold
AMBEWELA SET YOGHURT 80ML,10
HIGHLAND BUTTER SALTED 200G,1
CARGILLS CHOCOLATE ICE CREAM 2L,1
CARGILLS CHOCOLATE ICE CREAM 1L,1
CARGILLS VANILLA ICE CREAM 2L,1
CARGILLS VANILLA ICE CREAM 1L,1
ELEPHANT HOUSE CHOCOALTE ICE CREAM 1L,1
ELEPHANT HOUSE CHOCOALTE ICE CREAM 2L,0
COCACOLA 1.5L,1
ELEPHANT HOUSE CHOCOALTE ICE CREAM 4L,0
FANTA 1.5L,0
HAPPY COW CHEESE 120G,2
HARISCHANDRA COFFEE 100G,3
HARISCHANDRA COFFEE 50G,2
HARISCHANDRA COFFEE 200G,2
KOTMALE CHEESE WEDGES 120G,1
LION SODA 1.5L,0
NEWDALE SET YOGHURT 80G,16
PORTELLO 1.5L,1
PRIMA WHEAT FLOUR 1KG,16
SPRITE 1.5L,2
ELEPHANT HOUSE STRAWBERRY ICE CREAM 2L,2
ELEPHANT HOUSE STRAWBERRY ICE CREAM 4L,2
ELEPHANT HOUSE STRAWBERRY ICE CREAM 1L,2
UDAYAGIRI WHEAT FLOUR 1KG,33
ELEPHANT HOUSE VANILA ICE CREAM 2L,2
ELEPHANT HOUSE VANILA ICE CREAM 4L,3
ELEPHANT HOUSE VANILA ICE CREAM 1L,3
HIGHLAND YOGHURT 80ML,31
