Date,Product ID,Product Quantity,Units sold,Day,Month,Year,DayOfWeek,Category,DayType,Week_of_Year,Rainfall
2022-01-02,0,80ML,6,2,1,2022,Sunday,YOGHURT,Weekend,52,7.6
2022-01-01,0,80ML,6,1,1,2022,Saturday,YOGHURT,Weekend,52,0.1
2022-01-01,0,80ML,1,1,1,2022,Saturday,YOGHURT,Weekend,52,0.1
2022-01-01,0,80ML,6,1,1,2022,Saturday,YOGHURT,Weekend,52,0.1
2022-01-02,0,80ML,10,2,1,2022,Sunday,YOGHURT,Weekend,52,7.6
2022-01-02,0,80ML,1,2,1,2022,Sunday,YOGHURT,Weekend,52,7.6
2022-01-03,0,80ML,1,3,1,2022,Monday,YOGHURT,Weekday,1,7.3
2022-01-07,0,80ML,8,7,1,2022,Friday,YOGHURT,Weekday,1,0.0
2022-01-07,0,80ML,13,7,1,2022,Friday,YOGHURT,Weekday,1,0.0
2022-01-07,0,80ML,4,7,1,2022,Friday,YOGHURT,Weekday,1,0.0
2022-01-07,0,80ML,2,7,1,2022,Friday,YOGHURT,Weekday,1,0.0
2022-01-08,0,80ML,6,8,1,2022,Saturday,YOGHURT,Weekend,1,0.0
2022-01-08,0,80ML,6,8,1,2022,Saturday,YOGHURT,Weekend,1,0.0
2022-01-08,0,80ML,1,8,1,2022,Saturday,YOGHURT,Weekend,1,0.0
2022-01-09,0,80ML,2,9,1,2022,Sunday,YOGHURT,Weekend,1,0.3
2022-01-09,0,80ML,16,9,1,2022,Sunday,YOGHURT,Weekend,1,0.3
2022-01-09,0,80ML,12,9,1,2022,Sunday,YOGHURT,Weekend,1,0.3
2022-01-09,0,80ML,36,9,1,2022,Sunday,YOGHURT,Weekend,1,0.3
2022-01-09,0,80ML,9,9,1,2022,Sunday,YOGHURT,Weekend,1,0.3
2022-01-08,0,80ML,10,8,1,2022,Saturday,YOGHURT,Weekend,1,0.0
2022-01-08,0,80ML,6,8,1,2022,Saturday,YOGHURT,Weekend,1,0.0
2022-01-08,0,80ML,10,8,1,2022,Saturday,YOGHURT,Weekend,1,0.0
2022-01-08,0,80ML,1,8,1,2022,Saturday,YOGHURT,Weekend,1,0.0
2022-01-09,0,80ML,3,9,1,2022,Sunday,YOGHURT,Weekend,1,0.3
2022-01-09,0,80ML,5,9,1,2022,Sunday,YOGHURT,Weekend,1,0.3
2022-01-10,0,80ML,6,10,1,2022,Monday,YOGHURT,Weekday,2,0.1
2022-01-10,0,80ML,12,10,1,2022,Monday,YOGHURT,Weekday,2,0.1
2022-01-10,0,80ML,25,10,1,2022,Monday,YOGHURT,Weekday,2,0.1
2022-01-10,0,80ML,6,10,1,2022,Monday,YOGHURT,Weekday,2,0.1
2022-01-10,0,80ML,4,10,1,2022,Monday,YOGHURT,Weekday,2,0.1
2022-01-11,0,80ML,6,11,1,2022,Tuesday,YOGHURT,Weekday,2,0.0
2022-01-11,0,80ML,2,11,1,2022,Tuesday,YOGHURT,Weekday,2,0.0
2022-01-11,0,80ML,6,11,1,2022,Tuesday,YOGHURT,Weekday,2,0.0
2022-01-11,0,80ML,20,11,1,2022,Tuesday,YOGHURT,Weekday,2,0.0
2022-01-11,0,80ML,12,11,1,2022,Tuesday,YOGHURT,Weekday,2,0.0
2022-01-11,0,80ML,2,11,1,2022,Tuesday,YOGHURT,Weekday,2,0.0
2022-01-11,0,80ML,3,11,1,2022,Tuesday,YOGHURT,Weekday,2,0.0
2022-01-12,0,80ML,4,12,1,2022,Wednesday,YOGHURT,Weekday,2,0.0
2022-01-12,0,80ML,6,12,1,2022,Wednesday,YOGHURT,Weekday,2,0.0
2022-01-12,0,80ML,6,12,1,2022,Wednesday,YOGHURT,Weekday,2,0.0
2022-01-12,0,80ML,18,12,1,2022,Wednesday,YOGHURT,Weekday,2,0.0
2022-01-12,0,80ML,3,12,1,2022,Wednesday,YOGHURT,Weekday,2,0.0
2022-01-13,0,80ML,6,13,1,2022,Thursday,YOGHURT,Weekday,2,0.0
2022-01-13,0,80ML,12,13,1,2022,Thursday,YOGHURT,Weekday,2,0.0
2022-01-14,0,80ML,6,14,1,2022,Friday,YOGHURT,Weekday,2,0.0
2022-01-13,0,80ML,9,13,1,2022,Thursday,YOGHURT,Weekday,2,0.0
2022-01-14,0,80ML,4,14,1,2022,Friday,YOGHURT,Weekday,2,0.0
2022-01-14,0,80ML,1,14,1,2022,Friday,YOGHURT,Weekday,2,0.0
2022-01-14,0,80ML,2,14,1,2022,Friday,YOGHURT,Weekday,2,0.0
2022-01-13,0,80ML,6,13,1,2022,Thursday,YOGHURT,Weekday,2,0.0
2022-01-13,0,80ML,2,13,1,2022,Thursday,YOGHURT,Weekday,2,0.0
2022-01-17,0,80ML,6,17,1,2022,Monday,YOGHURT,Weekday,3,0.0
2022-01-17,0,80ML,1,17,1,2022,Monday,YOGHURT,Weekday,3,0.0
2022-01-15,0,80ML,3,15,1,2022,Saturday,YOGHURT,Weekend,2,2.3
2022-01-15,0,80ML,3,15,1,2022,Saturday,YOGHURT,Weekend,2,2.3
2022-01-16,0,80ML,6,16,1,2022,Sunday,YOGHURT,Weekend,2,0.0
2022-01-16,0,80ML,30,16,1,2022,Sunday,YOGHURT,Weekend,2,0.0
2022-01-15,0,80ML,16,15,1,2022,Saturday,YOGHURT,Weekend,2,2.3
2022-01-15,0,80ML,3,15,1,2022,Saturday,YOGHURT,Weekend,2,2.3
2022-01-16,0,80ML,4,16,1,2022,Sunday,YOGHURT,Weekend,2,0.0
2022-01-15,0,80ML,22,15,1,2022,Saturday,YOGHURT,Weekend,2,2.3
2022-01-17,0,80ML,1,17,1,2022,Monday,YOGHURT,Weekday,3,0.0
2022-01-17,0,80ML,50,17,1,2022,Monday,YOGHURT,Weekday,3,0.0
2022-01-17,0,80ML,6,17,1,2022,Monday,YOGHURT,Weekday,3,0.0
2022-01-18,0,80ML,2,18,1,2022,Tuesday,YOGHURT,Weekday,3,0.0
2022-01-18,0,80ML,12,18,1,2022,Tuesday,YOGHURT,Weekday,3,0.0
2022-01-18,0,80ML,18,18,1,2022,Tuesday,YOGHURT,Weekday,3,0.0
2022-01-18,0,80ML,12,18,1,2022,Tuesday,YOGHURT,Weekday,3,0.0
2022-01-18,0,80ML,3,18,1,2022,Tuesday,YOGHURT,Weekday,3,0.0
2022-01-18,0,80ML,5,18,1,2022,Tuesday,YOGHURT,Weekday,3,0.0
2022-01-19,0,80ML,32,19,1,2022,Wednesday,YOGHURT,Weekday,3,0.0
2022-01-19,0,80ML,12,19,1,2022,Wednesday,YOGHURT,Weekday,3,0.0
2022-01-19,0,80ML,74,19,1,2022,Wednesday,YOGHURT,Weekday,3,0.0
2022-01-19,0,80ML,44,19,1,2022,Wednesday,YOGHURT,Weekday,3,0.0
2022-01-19,0,80ML,4,19,1,2022,Wednesday,YOGHURT,Weekday,3,0.0
2022-01-19,0,80ML,1,19,1,2022,Wednesday,YOGHURT,Weekday,3,0.0
2022-01-19,0,80ML,3,19,1,2022,Wednesday,YOGHURT,Weekday,3,0.0
2022-01-20,0,80ML,22,20,1,2022,Thursday,YOGHURT,Weekday,3,0.0
2022-01-20,0,80ML,16,20,1,2022,Thursday,YOGHURT,Weekday,3,0.0
2022-01-20,0,80ML,6,20,1,2022,Thursday,YOGHURT,Weekday,3,0.0
2022-01-20,0,80ML,13,20,1,2022,Thursday,YOGHURT,Weekday,3,0.0
2022-01-20,0,80ML,4,20,1,2022,Thursday,YOGHURT,Weekday,3,0.0
2022-01-21,0,80ML,5,21,1,2022,Friday,YOGHURT,Weekday,3,0.0
2022-01-21,0,80ML,12,21,1,2022,Friday,YOGHURT,Weekday,3,0.0
2022-01-22,0,80ML,16,22,1,2022,Saturday,YOGHURT,Weekend,3,0.0
2022-01-22,0,80ML,10,22,1,2022,Saturday,YOGHURT,Weekend,3,0.0
2022-01-21,0,80ML,7,21,1,2022,Friday,YOGHURT,Weekday,3,0.0
2022-01-22,0,80ML,5,22,1,2022,Saturday,YOGHURT,Weekend,3,0.0
2022-01-22,0,80ML,6,22,1,2022,Saturday,YOGHURT,Weekend,3,0.0
2022-01-21,0,80ML,10,21,1,2022,Friday,YOGHURT,Weekday,3,0.0
2022-01-21,0,80ML,6,21,1,2022,Friday,YOGHURT,Weekday,3,0.0
2022-01-21,0,80ML,4,21,1,2022,Friday,YOGHURT,Weekday,3,0.0
2022-01-22,0,80ML,5,22,1,2022,Saturday,YOGHURT,Weekend,3,0.0
2022-01-22,0,80ML,12,22,1,2022,Saturday,YOGHURT,Weekend,3,0.0
2022-01-23,0,80ML,26,23,1,2022,Sunday,YOGHURT,Weekend,3,0.0
2022-01-23,0,80ML,20,23,1,2022,Sunday,YOGHURT,Weekend,3,0.0
2022-01-23,0,80ML,33,23,1,2022,Sunday,YOGHURT,Weekend,3,0.0
2022-01-23,0,80ML,6,23,1,2022,Sunday,YOGHURT,Weekend,3,0.0
2022-01-23,0,80ML,4,23,1,2022,Sunday,YOGHURT,Weekend,3,0.0
2022-01-23,0,80ML,3,23,1,2022,Sunday,YOGHURT,Weekend,3,0.0
2022-01-23,0,80ML,3,23,1,2022,Sunday,YOGHURT,Weekend,3,0.0
2022-01-24,0,80ML,6,24,1,2022,Monday,YOGHURT,Weekday,4,58.6
2022-01-24,0,80ML,2,24,1,2022,Monday,YOGHURT,Weekday,4,58.6
2022-01-24,0,80ML,47,24,1,2022,Monday,YOGHURT,Weekday,4,58.6
2022-01-24,0,80ML,12,24,1,2022,Monday,YOGHURT,Weekday,4,58.6
2022-01-24,0,80ML,5,24,1,2022,Monday,YOGHURT,Weekday,4,58.6
2022-01-24,0,80ML,2,24,1,2022,Monday,YOGHURT,Weekday,4,58.6
2022-01-25,0,80ML,6,25,1,2022,Tuesday,YOGHURT,Weekday,4,0.0
2022-01-25,0,80ML,30,25,1,2022,Tuesday,YOGHURT,Weekday,4,0.0
2022-01-26,0,80ML,19,26,1,2022,Wednesday,YOGHURT,Weekday,4,0.0
2022-01-26,0,80ML,7,26,1,2022,Wednesday,YOGHURT,Weekday,4,0.0
2022-01-26,0,80ML,3,26,1,2022,Wednesday,YOGHURT,Weekday,4,0.0
2022-01-27,0,80ML,28,27,1,2022,Thursday,YOGHURT,Weekday,4,0.0
2022-01-27,0,80ML,28,27,1,2022,Thursday,YOGHURT,Weekday,4,0.0
2022-01-25,0,80ML,24,25,1,2022,Tuesday,YOGHURT,Weekday,4,0.0
2022-01-25,0,80ML,3,25,1,2022,Tuesday,YOGHURT,Weekday,4,0.0
