Date,Month,Year,RF,T max ,T min,Avg_tem
1,10,2013,0,31.1,25.8,28.45
2,10,2013,0,31.3,27.5,29.4
3,10,2013,1.6,31.3,27.3,29.3
4,10,2013,5.8,30.7,25.7,28.2
5,10,2013,0.3,30.8,24.4,27.6
6,10,2013,2.5,31,25.1,28.05
7,10,2013,13.2,31.1,24.4,27.75
8,10,2013,0,30.5,24.8,27.65
9,10,2013,3.4,30.9,27.3,29.1
10,10,2013,6.2,29.8,26.3,28.05
11,10,2013,5.5,30.7,26.1,28.4
12,10,2013,2,30.3,25.6,27.95
13,10,2013,0.4,30.4,26.1,28.25
14,10,2013,1.6,30.8,25.4,28.1
15,10,2013,0,30.8,25.7,28.25
16,10,2013,24.6,30.5,27.2,28.85
17,10,2013,2.1,30.4,25,27.7
18,10,2013,18.2,30.3,24.2,27.25
19,10,2013,23.7,27.5,23.9,25.7
20,10,2013,0.1,29.5,23.9,26.7
21,10,2013,8.1,30.3,26.4,28.35
22,10,2013,1.6,30.5,24.9,27.7
23,10,2013,0.5,30.9,26.9,28.9
24,10,2013,1.9,30.5,25.9,28.2
25,10,2013,0,30.4,25.1,27.75
26,10,2013,1.2,30.5,24.6,27.55
27,10,2013,0,30.6,24.9,27.75
28,10,2013,0,30.9,25.7,28.3
29,10,2013,0.5,30.5,25,27.75
30,10,2013,7.1,30.8,24.3,27.55
31,10,2013,8.2,30.4,24.2,27.3
1,11,2013,9.2,31.2,23.4,27.3
2,11,2013,18,30.7,23.9,27.3
3,11,2013,2.8,30.6,23.4,27
4,11,2013,3.1,30.8,24.8,27.8
5,11,2013,3,30.9,24.5,27.7
6,11,2013,0,31,24.6,27.8
7,11,2013,5.1,31.3,23.8,27.55
8,11,2013,3.5,31.3,23.6,27.45
9,11,2013,21.2,31.7,24.5,28.1
10,11,2013,8.8,29.6,24.7,27.15
11,11,2013,0,32,24.5,28.25
12,11,2013,0.3,31.4,25.3,28.35
13,11,2013,0,28.9,25.1,27
14,11,2013,0,31.5,24.8,28.15
15,11,2013,0,31,24.7,27.85
16,11,2013,0,31,24,27.5
17,11,2013,0,31.3,25.4,28.35
18,11,2013,0,31.1,24.7,27.9
19,11,2013,19.7,30.9,23.9,27.4
20,11,2013,0,31.3,23.2,27.25
21,11,2013,0,30.8,24,27.4
22,11,2013,17.4,30.9,25.2,28.05
23,11,2013,14.1,30.8,24.5,27.65
24,11,2013,1.6,29.7,23.8,26.75
25,11,2013,0.6,30.9,23.9,27.4
26,11,2013,0,31,23.9,27.45
27,11,2013,0,31,23.7,27.35
28,11,2013,0,30.7,23.3,27
29,11,2013,15.7,30.7,24.8,27.75
30,11,2013,60.6,32.5,24.5,28.5
1,12,2013,0.4,30.3,23.2,26.75
2,12,2013,0,30.8,24.1,27.45
3,12,2013,0,31.6,23.9,27.75
4,12,2013,0,31.5,24.5,28
5,12,2013,0,29.9,24.3,27.1
6,12,2013,0,30.2,23.9,27.05
7,12,2013,0,30.2,24.3,27.25
8,12,2013,0,30.2,23.9,27.05
9,12,2013,0,30.9,24.1,27.5
