Date,Price
1/12/2022,277.788
1/13/2022,277.869
1/14/2022,277.22
1/17/2022,276.407
1/18/2022,274.001
1/19/2022,275.59
1/20/2022,274.401
1/21/2022,273.791
1/24/2022,272.31
1/25/2022,272.667
1/26/2022,271.791
1/27/2022,269.039
1/28/2022,269.42
1/31/2022,270.513
2/1/2022,272.131
2/2/2022,274.045
2/3/2022,274.612
2/4/2022,273.898
2/7/2022,272.886
2/8/2022,271.524
2/9/2022,273.204
2/10/2022,273.797
2/11/2022,273.912
2/14/2022,272.955
2/15/2022,272.663
2/16/2022,274.706
2/17/2022,274.213
2/18/2022,274.518
2/21/2022,274.516
2/22/2022,275.036
2/23/2022,273.548
2/24/2022,269.319
2/25/2022,270.781
2/28/2022,269.615
3/1/2022,268.833
3/2/2022,270.392
3/3/2022,269.589
3/4/2022,266.525
3/7/2022,264.534
3/8/2022,298.133
3/9/2022,299.671
3/10/2022,333.492
3/11/2022,332.47
3/14/2022,331.552
3/15/2022,355.341
3/16/2022,348.464
3/17/2022,347.759
3/18/2022,365.69
3/21/2022,368.734
3/22/2022,377.983
3/23/2022,373.042
3/24/2022,379.128
3/25/2022,385.56
3/28/2022,379.474
3/29/2022,384.251
3/30/2022,388.737
3/31/2022,386.199
4/1/2022,386.208
4/4/2022,390.008
4/5/2022,388.715
4/6/2022,398.636
4/7/2022,411.848
4/8/2022,410.525
4/11/2022,420.155
4/12/2022,419.269
4/13/2022,422.75
4/14/2022,421.115
4/15/2022,420.906
4/18/2022,426.146
4/19/2022,435.468
4/20/2022,437.779
4/21/2022,436.439
4/22/2022,430.108
4/25/2022,426.841
4/26/2022,430.728
4/27/2022,445.513
4/28/2022,436.013
4/29/2022,446.342
5/2/2022,442.616
5/3/2022,442.846
5/4/2022,444.962
5/5/2022,457.543
5/6/2022,444.206
5/9/2022,450.155
5/10/2022,449.809
5/11/2022,447.181
5/12/2022,451.439
5/13/2022,441.47
5/16/2022,442.599
5/17/2022,449.713
5/18/2022,444.277
5/19/2022,448.458
5/20/2022,449.257
5/23/2022,452.576
5/24/2022,450.509
5/25/2022,454.89
5/26/2022,456.29
5/27/2022,456.772
5/30/2022,457.991
5/31/2022,453.673
6/1/2022,449.053
6/2/2022,452.18
6/3/2022,444.573
6/6/2022,453.386
6/7/2022,449.392
6/8/2022,447.642
6/9/2022,449.749
6/10/2022,443.377
6/13/2022,436.681
6/14/2022,431.066
6/15/2022,438.481
6/16/2022,447.198
6/17/2022,442.546
6/20/2022,437.325
6/21/2022,439.481
6/22/2022,441.649
6/23/2022,437.682
6/24/2022,437.753
6/27/2022,437.825
6/28/2022,433.679
6/29/2022,431.65
6/30/2022,433.43
7/1/2022,430.546
7/4/2022,440.641
7/5/2022,430.507
7/6/2022,434.034
7/7/2022,432.829
7/8/2022,438.759
7/11/2022,428.078
7/12/2022,426.15
7/13/2022,425.146
7/14/2022,432.168
7/15/2022,426.745
7/18/2022,430.28
7/19/2022,431.803
7/20/2022,430.945
7/21/2022,429.253
7/22/2022,432.145
7/25/2022,431.104
7/26/2022,429.293
7/27/2022,433.791
7/28/2022,440.844
7/29/2022,434.326
8/1/2022,444.669
8/2/2022,435.54
8/3/2022,433.541
8/4/2022,434.183
8/5/2022,430.935
8/8/2022,440.94
8/9/2022,431.256
8/10/2022,443.823
8/11/2022,443.363
8/12/2022,436.753
8/15/2022,434.017
8/16/2022,435.422
8/17/2022,433.747
8/18/2022,429.553
8/19/2022,425.845
8/22/2022,420.011
8/23/2022,425.99
8/24/2022,421.26
8/25/2022,422.331
8/26/2022,419.368
8/29/2022,421.543
8/30/2022,419.617
8/31/2022,415.928
9/1/2022,413.229
9/2/2022,414.326
9/5/2022,414.542
9/6/2022,414.613
9/7/2022,415.081
9/8/2022,418.746
9/9/2022,417.206
9/12/2022,420.547
9/13/2022,418.921
9/14/2022,421.497
9/15/2022,414.997
9/16/2022,417.04
9/19/2022,416.181
9/20/2022,413.7
9/21/2022,411.337
9/22/2022,402.893
9/23/2022,395.232
9/26/2022,389.003
9/27/2022,390.664
9/28/2022,396.397
9/29/2022,404.66
9/30/2022,407.972
10/3/2022,405.084
10/4/2022,419.986
10/5/2022,414.605
10/6/2022,408.53
10/7/2022,405.748
10/10/2022,404.645
10/11/2022,401.393
10/12/2022,406.724
10/13/2022,413.491
10/14/2022,405.471
10/17/2022,416.968
10/18/2022,415.445
10/19/2022,411.721
10/20/2022,412.619
10/21/2022,414.858
10/24/2022,413.867
10/25/2022,416.252
10/26/2022,422.06
10/27/2022,419.773
