Date,Price,Open,High,Low,Vol.,Change %
12/1/2022,2.723,2.669,2.725,2.6615,,2.00%
12/2/2022,2.7435,2.724,2.7585,2.6995,,0.75%
12/5/2022,2.687,2.739,2.7475,2.68,,-2.06%
12/6/2022,2.681,2.687,2.709,2.6405,,-0.22%
12/7/2022,2.69,2.681,2.698,2.666,,0.34%
12/8/2022,2.689,2.69,2.707,2.639,,-0.04%
12/9/2022,2.691,2.689,2.7165,2.654,,0.07%
12/12/2022,2.669,2.69,2.701,2.6455,,-0.82%
12/13/2022,2.7105,2.669,2.729,2.6375,,1.55%
12/14/2022,2.679,2.7105,2.737,2.6765,,-1.16%
12/15/2022,2.667,2.698,2.729,2.6545,,-0.45%
12/16/2022,2.688,2.667,2.7015,2.6365,,0.79%
12/19/2022,2.666,2.7015,2.7215,2.661,,-0.82%
12/20/2022,2.756,2.666,2.8105,2.6545,,3.38%
12/21/2022,2.74,2.7745,2.805,2.7365,,-0.58%
12/22/2022,2.743,2.7585,2.796,2.7415,,0.11%
12/23/2022,2.733,2.7605,2.7835,2.7275,,-0.36%
12/26/2022,2.732,2.7525,2.7625,2.7435,,-0.04%
12/27/2022,2.719,2.75,2.7765,2.7275,,-0.48%
12/28/2022,2.699,2.738,2.757,2.7025,,-0.74%
12/29/2022,2.729,2.718,2.7635,2.71,,1.11%
12/30/2022,2.8025,2.748,2.8105,2.7355,,2.69%
1/2/2023,2.776,2.8025,2.8145,2.789,,-0.95%
1/3/2023,2.77,2.7935,2.8455,2.7815,,-0.22%
1/4/2023,2.737,2.79,2.829,2.7535,,-1.19%
1/5/2023,2.721,2.756,2.785,2.726,,-0.58%
1/6/2023,2.748,2.74,2.769,2.712,,0.99%
1/9/2023,2.7865,2.7705,2.797,2.7445,,1.40%
1/10/2023,2.7785,2.7865,2.7975,2.7305,,-0.29%
1/11/2023,2.7665,2.7785,2.7855,2.7245,,-0.43%
1/12/2023,2.843,2.7665,2.852,2.7535,,2.77%
1/13/2023,2.862,2.844,2.876,2.813,,0.67%
1/16/2023,2.847,2.863,2.877,2.84,,-0.52%
1/17/2023,2.848,2.8465,2.8745,2.805,,0.04%
1/18/2023,2.808,2.869,2.869,2.765,,-1.40%
1/19/2023,2.8575,2.824,2.8875,2.8215,,1.76%
1/20/2023,2.8245,2.8575,2.867,2.793,,-1.15%
1/23/2023,2.77,2.826,2.8585,2.7805,,-1.93%
1/24/2023,2.781,2.7855,2.835,2.776,,0.40%
1/25/2023,2.793,2.7965,2.83,2.78,,0.43%
1/26/2023,2.78,2.809,2.852,2.7855,,-0.47%
1/27/2023,2.787,2.795,2.8395,2.783,,0.25%
1/30/2023,2.8055,2.8065,2.8515,2.7895,,0.66%
1/31/2023,2.805,2.8055,2.8345,2.777,,-0.02%
2/1/2023,2.8385,2.8255,2.8475,2.782,,1.19%
2/2/2023,2.8445,2.8385,2.868,2.8005,,0.21%
2/3/2023,2.7825,2.8445,2.8625,2.7815,,-2.18%
2/6/2023,2.7535,2.763,2.7845,2.7335,,-1.04%
2/7/2023,2.7885,2.7535,2.801,2.735,,1.27%
2/8/2023,2.7815,2.7885,2.805,2.759,,-0.25%
2/9/2023,2.7775,2.7825,2.8135,2.74,,-0.14%
2/10/2023,2.7775,2.7785,2.8175,2.7375,,0.00%
2/13/2023,2.7565,2.7775,2.787,2.718,,-0.76%
2/14/2023,2.742,2.7565,2.7915,2.724,,-0.53%
2/15/2023,2.7205,2.742,2.758,2.703,,-0.78%
2/16/2023,2.725,2.721,2.7415,2.6935,,0.17%
2/17/2023,2.7245,2.725,2.7275,2.681,,-0.02%
2/20/2023,2.677,2.7245,2.7385,2.682,,-1.74%
2/21/2023,2.7035,2.696,2.729,2.6685,,0.99%
2/22/2023,2.705,2.704,2.718,2.656,,0.06%
2/23/2023,2.709,2.706,2.72,2.668,,0.15%
2/24/2023,2.6745,2.709,2.723,2.6705,,-1.27%
2/27/2023,2.665,2.674,2.6885,2.63,,-0.36%
2/28/2023,2.6575,2.665,2.67,2.602,,-0.28%
3/1/2023,2.6285,2.6575,2.661,2.5765,,-1.09%
3/2/2023,2.53,2.6285,2.632,2.501,,-3.75%
3/3/2023,2.4985,2.53,2.5535,2.45,,-1.25%
3/6/2023,2.4975,2.4985,2.508,2.4925,,-0.04%
3/7/2023,2.3515,2.4975,2.4995,2.3345,,-5.85%
3/8/2023,2.348,2.3515,2.376,2.2955,,-0.15%
3/9/2023,2.3685,2.348,2.383,2.2635,,0.87%
3/10/2023,2.3705,2.3685,2.393,2.2645,,0.08%
3/13/2023,2.459,2.371,2.476,2.336,,3.73%
3/14/2023,2.4955,2.4585,2.537,2.419,,1.48%
3/15/2023,2.53,2.4955,2.5765,2.4555,,1.38%
3/16/2023,2.5385,2.53,2.5985,2.4985,,0.34%
3/17/2023,2.549,2.5385,2.592,2.5035,,0.41%
3/20/2023,2.589,2.5475,2.5995,2.519,,1.57%
3/21/2023,2.414,2.589,2.5945,2.4165,,-6.76%
3/22/2023,2.43,2.4265,2.4505,2.358,,0.66%
3/23/2023,2.43,2.442,2.4845,2.418,,0.00%
3/24/2023,2.448,2.4385,2.504,2.436,,0.74%
3/27/2023,2.451,2.463,2.482,2.4195,,0.12%
3/28/2023,2.479,2.4515,2.5055,2.44,,1.14%
3/29/2023,2.446,2.4795,2.5145,2.4225,,-1.33%
3/30/2023,2.45,2.454,2.506,2.4135,,0.16%
3/31/2023,2.439,2.4615,2.499,2.4075,,-0.45%
4/3/2023,2.439,2.4515,2.477,2.3855,,0.00%
4/4/2023,2.4485,2.4545,2.4655,2.3925,,0.39%
4/5/2023,2.456,2.4485,2.4685,2.446,,0.31%
4/6/2023,2.428,2.456,2.473,2.405,,-1.14%
4/7/2023,2.421,2.4305,2.435,2.419,,-0.29%
4/10/2023,2.38,2.424,2.455,2.3895,,-1.69%
4/11/2023,2.386,2.395,2.439,2.356,,0.25%
4/12/2023,2.396,2.3975,2.4185,2.3515,,0.42%
4/13/2023,2.406,2.411,2.4315,2.406,,0.42%
4/14/2023,2.384,2.4215,2.4285,2.398,,-0.91%
4/17/2023,2.372,2.3985,2.408,2.3655,,-0.50%
4/18/2023,2.371,2.38,2.4155,2.344,,-0.04%
4/19/2023,2.364,2.386,2.4165,2.3485,,-0.30%
4/20/2023,2.369,2.3755,2.415,2.3495,,0.21%
4/21/2023,2.37,2.384,2.4175,2.3735,,0.04%
4/24/2023,2.3835,2.3865,2.4275,2.3645,,0.57%
4/25/2023,2.404,2.3835,2.4215,2.369,,0.86%
4/26/2023,2.394,2.406,2.424,2.397,,-0.42%
4/27/2023,2.388,2.409,2.4195,2.3885,,-0.25%
4/28/2023,2.348,2.404,2.42,2.3485,,-1.68%
5/1/2023,2.327,2.3555,2.357,2.3335,,-0.89%
5/2/2023,2.343,2.3345,2.3555,2.319,,0.69%
5/3/2023,2.372,2.3505,2.403,2.334,,1.24%
5/4/2023,2.375,2.3725,2.3945,2.3585,,0.13%
5/5/2023,2.365,2.379,2.3865,2.364,,-0.42%
5/8/2023,2.354,2.37,2.394,2.333,,-0.47%
5/9/2023,2.344,2.3615,2.3735,2.3435,,-0.42%
5/10/2023,2.351,2.3555,2.365,2.332,,0.30%
5/11/2023,2.326,2.3525,2.377,2.306,,-1.06%
5/12/2023,2.299,2.329,2.3575,2.2885,,-1.16%
5/15/2023,2.299,2.3045,2.311,2.2865,,0.00%
5/16/2023,2.265,2.301,2.305,2.263,,-1.48%
5/17/2023,2.215,2.268,2.27,2.218,,-2.21%
5/18/2023,2.206,2.219,2.234,2.207,,-0.41%
5/19/2023,2.221,2.2125,2.234,2.2105,,0.68%
5/22/2023,2.2,2.2245,2.233,2.202,,-0.95%
5/23/2023,2.197,2.204,2.208,2.1915,,-0.14%
5/24/2023,2.173,2.201,2.2045,2.176,,-1.09%
5/25/2023,2.156,2.1765,2.19,2.157,,-0.78%
5/26/2023,2.112,2.16,2.1645,2.112,,-2.04%
5/29/2023,2.107,2.113,2.1215,2.0975,,-0.24%
5/30/2023,2.103,2.1145,2.122,2.0905,,-0.19%
5/31/2023,2.081,2.1065,2.111,2.0665,,-1.05%
6/1/2023,2.115,2.083,2.1235,2.07,,1.63%
6/2/2023,2.072,2.118,2.122,2.0775,,-2.03%
6/5/2023,2.078,2.0785,2.086,2.0605,,0.29%
6/6/2023,2.088,2.08,2.0955,2.0715,,0.48%
6/7/2023,2.076,2.091,2.098,2.076,,-0.57%
6/8/2023,2.116,2.08,2.1255,2.073,,1.93%
6/9/2023,2.12,2.1235,2.133,2.099,,0.19%
6/12/2023,2.1525,2.123,2.167,2.117,,1.53%
6/13/2023,2.182,2.1525,2.2085,2.146,,1.37%
6/14/2023,2.2485,2.1895,2.2955,2.182,,3.05%
6/15/2023,2.181,2.249,2.3085,2.1485,,-3.00%
6/16/2023,2.168,2.181,2.216,2.159,,-0.60%
