Date,Price,Open,High,Low,Vol.,Change %
12/1/2022,368.5,368.5,369,364.75,0.04K,0.00%
12/2/2022,368.5,365,369,364.75,0.03K,0.00%
12/5/2022,367.5,368.5,369,363.5,0.03K,-0.27%
12/6/2022,367.5,367.5,370,362,0.03K,0.00%
12/8/2022,367.5,367.5,370,362,0.03K,0.00%
12/9/2022,367.5,368.5,369,362,0.03K,0.00%
12/12/2022,367.5,367.5,369.75,363.5,0.03K,0.00%
12/13/2022,367.5,367.5,370,363.5,0.02K,0.00%
12/14/2022,363,367.5,370.25,363.5,0.03K,-1.22%
12/15/2022,367.5,367.5,370.125,363,0.03K,1.24%
12/16/2022,367.5,367.5,370.375,362,0.03K,0.00%
12/19/2022,365,368.5,370,363.875,0.02K,-0.68%
12/20/2022,363,365.5,370,363.5,0.02K,-0.55%
12/21/2022,363,365.5,369.13,362,0.02K,0.00%
12/22/2022,363,365.5,368.75,362,0.02K,0.00%
12/23/2022,363,365.5,368.75,362,0.02K,0.00%
12/27/2022,363,365.5,369,363.25,0.03K,0.00%
12/28/2022,363,365.5,369,362.5,0.03K,0.00%
12/29/2022,363,365.5,369,363.25,0.03K,0.00%
12/30/2022,367.5,365.5,368.5,363.25,0.03K,1.24%
1/2/2023,363,367.5,368,365.5,0.03K,-1.22%
1/3/2023,363,365.5,369,363,0.03K,0.00%
1/4/2023,363,365.5,367.5,362,0.03K,0.00%
1/5/2023,363,365.5,368.5,362,0.03K,0.00%
1/9/2023,367.5,365.5,368.5,363.5,0.03K,1.24%
1/10/2023,367.5,365,367.5,360.5,0.03K,0.00%
1/11/2023,366.5,365,368,360.5,0.03K,-0.27%
1/12/2023,367.5,364.5,368.5,362.5,0.03K,0.27%
1/13/2023,366,363.5,368,363,0.03K,-0.41%
1/17/2023,365,364.5,368.5,361.5,,-0.27%
1/18/2023,362,364,368.5,363,,-0.82%
1/19/2023,367,364,369,363,,1.38%
1/20/2023,366,367,368.5,363,,-0.27%
1/23/2023,362,364,370.25,362,,-1.09%
1/24/2023,362,364,368.5,362.75,,0.00%
1/25/2023,362,364.5,368.5,363,,0.00%
1/26/2023,362,364,369,363,,0.00%
1/27/2023,362,364,368.5,362,,0.00%
1/30/2023,366,364,369,363,,1.10%
1/31/2023,365,364,368.5,362,,-0.27%
2/1/2023,366,364,369,362.75,,0.27%
2/2/2023,366,364,369,361,,0.00%
2/3/2023,365,363,368,360.5,,-0.27%
2/6/2023,365.25,365,366.5,360.68,,0.07%
2/7/2023,365.5,365.25,367,361.18,,0.07%
2/8/2023,365.5,365.5,367,361.96,,0.00%
2/9/2023,365.5,365.5,368.5,360.66,,0.00%
2/10/2023,365,365.5,368,360.5,,-0.14%
2/13/2023,365,365,367.5,360.66,,0.00%
2/14/2023,365,366,368,360.66,,0.00%
2/15/2023,365,365,366.5,360.66,,0.00%
2/16/2023,365,361.92,366.5,360.66,,0.00%
2/17/2023,365.5,365,366.5,361.92,,0.14%
2/20/2023,359.32,365,367,360,,-1.69%
2/21/2023,365,361,366.5,359.5,,1.58%
2/22/2023,365,364.5,366.25,358.5,,0.00%
2/23/2023,365,365,366.5,360,,0.00%
2/24/2023,365,362.67,366.5,360.75,,0.00%
2/27/2023,363,361.5,365.75,358.75,,-0.55%
2/28/2023,362,360.75,363.315,355.5,,-0.28%
3/1/2023,358,354,360.5,351.5,,-1.10%
3/2/2023,346,346,350.575,342.5,,-3.35%
3/3/2023,339.5,340,347.835,335,,-1.88%
3/7/2023,322.5,322.5,332.5,317.5,,-5.01%
3/8/2023,322.5,321.5,325,316.5,,0.00%
3/9/2023,322.5,313.5,322.5,310,,0.00%
3/10/2023,320,320,326,310,,-0.78%
3/13/2023,327.5,325,329.5,314.5,,2.34%
3/14/2023,335,324,340,323.75,,2.29%
3/15/2023,335,330,343.5,330,,0.00%
3/16/2023,337,338.5,345,332,,0.60%
3/17/2023,336,335.5,345,333.5,,-0.30%
3/20/2023,340,340,340,332.5,,1.19%
3/21/2023,320,320,325.5,318.5,,-5.88%
3/22/2023,319.5,321.5,322.25,312.5,,-0.16%
3/23/2023,318,320,325,317,,-0.47%
3/24/2023,320,319,326,319,,0.63%
3/27/2023,322.5,322.5,326,318,,0.78%
3/28/2023,324.5,322.5,327.5,320,,0.62%
3/29/2023,325,326.5,331.5,320,,0.15%
3/30/2023,325,326,331.5,320.5,,0.00%
3/31/2023,324,326.5,332,321,,-0.31%
4/3/2023,323,326.5,330,319,,-0.31%
4/4/2023,322.5,321.5,325.5,318,,-0.15%
4/6/2023,320,321,324,316.5,,-0.78%
4/10/2023,318,320,323.5,317.5,,-0.63%
4/11/2023,319,318.5,324.875,314.5,,0.31%
4/12/2023,319,319,322.5,314.75,,0.00%
4/17/2023,319,320,322.5,317.5,,0.00%
4/18/2023,318,319.5,324.25,315,,-0.31%
4/19/2023,318.5,321.5,324.75,316.5,,0.16%
4/20/2023,318,320,324.65,316.75,,-0.16%
4/21/2023,318,321.5,323.35,318.375,,0.00%
4/24/2023,320,321,325.85,318.375,,0.63%
4/25/2023,321.5,321.45,323.9,320.75,,0.47%
4/26/2023,320,321.5,322.85,320.75,,-0.47%
4/27/2023,320,321,323.35,320.25,,0.00%
4/28/2023,320,321.75,322.875,319.5,,0.00%
5/2/2023,320,321,323,319.5,,0.00%
5/3/2023,319.5,319.75,325,317.3,,-0.16%
5/4/2023,319,319.25,321.2,317.8,,-0.16%
5/8/2023,318,318.75,322.25,315.15,,-0.31%
5/9/2023,317,318.5,319.875,316.45,,-0.31%
5/10/2023,315.9,318,319.35,315.65,,-0.35%
5/11/2023,313,315.2,318.25,310.5,,-0.92%
5/12/2023,312,312.75,317.05,309.5,,-0.32%
5/15/2023,313,313.25,314,311.55,,0.32%
5/16/2023,309,311.95,311.95,308.75,,-1.28%
5/17/2023,305,308.85,308.85,305.5,,-1.29%
5/18/2023,306,305.5,307.65,304.5,,0.33%
5/19/2023,306.5,307.5,308.4,305.75,,0.16%
5/22/2023,305,306.5,306.75,304.95,,-0.49%
5/23/2023,304.5,305,305.55,303.75,,-0.16%
5/24/2023,303,304.5,304.5,302.45,,-0.49%
5/25/2023,302,303,304.5,301.7,,-0.33%
5/26/2023,297,301.75,301.75,296.75,,-1.66%
5/29/2023,296,296,297.25,295,,-0.34%
5/30/2023,294,296.5,297.25,294,,-0.68%
5/31/2023,290,293,294.75,289.75,,-1.36%
6/1/2023,293.5,290.5,294.9,289.5,,1.21%
6/2/2023,290,294,294,290,,-1.19%
6/5/2023,290,292,292.25,289.25,,0.00%
6/6/2023,291.5,291,292,289.25,,0.52%
6/7/2023,291,291.5,292,289.5,,-0.17%
6/8/2023,294,291,295.25,290,,1.03%
6/9/2023,295.5,294.5,297.5,292.5,,0.51%
6/12/2023,300.5,295.5,301.5,295.5,,1.69%
6/13/2023,306,300,307.25,300,,1.83%
6/14/2023,315,316,321,307,,2.94%
6/15/2023,306,318.5,326,303.5,,-2.86%
6/16/2023,307.5,307.5,312.25,305,,0.49%
6/19/2023,306,304.5,307,304,,-0.49%
6/20/2023,306,306,307.5,305.5,,0.00%
6/21/2023,306,307,308,306,,0.00%
6/22/2023,306,306.5,307.5,306.45,,0.00%
6/23/2023,307.5,306.5,308.25,306.5,,0.49%
6/26/2023,307.5,307.5,309.75,306,,0.00%
6/27/2023,308,309,310,307.75,,0.16%
6/28/2023,307.5,308.25,309.25,306.75,,-0.16%
6/29/2023,307.201,307.185,308.359,307.185,,-0.10%
6/30/2023,308.034,307.201,308.812,307.201,,0.27%
7/3/2023,307.699,306.037,307.699,306.037,,-0.11%
7/4/2023,306,307.5,307.625,305.5,,-0.55%
7/5/2023,306,307.5,307.5,305.75,,0.00%
7/6/2023,309,307.5,310.5,306.75,,0.98%
7/7/2023,309,310.5,312.375,309.5,,0.00%
7/10/2023,310,310,313.25,310,,0.32%
7/11/2023,313,312.5,314.875,312.25,,0.97%
7/12/2023,314,313.25,316.25,312,,0.32%
7/13/2023,317,315.5,318.75,313,,0.96%
7/14/2023,318,318,320.75,317.5,,0.32%
7/17/2023,321,320.75,323.5,320.75,,0.94%
7/18/2023,322,321.5,323.5,321,,0.31%
7/19/2023,323,323.5,324.5,322,,0.31%
7/20/2023,324,323.5,326.45,323.25,,0.31%
7/21/2023,326.5,326,327.75,325.5,,0.77%
7/24/2023,329,328.5,330.5,327.75,,0.77%
7/25/2023,330,329,332,328.5,,0.30%
7/26/2023,328,332,332.25,328.75,,-0.61%
7/27/2023,328,329,329.875,328.25,,0.00%
7/28/2023,328,329.1,330.25,328.5,,0.00%
7/31/2023,317,329,330,318,,-3.35%
8/1/2023,319.129,320.216,321.411,319.129,,0.67%
8/2/2023,313,317.5,317.5,312,,-1.92%
8/3/2023,316,315,320.5,314.5,,0.96%
8/4/2023,320,318.5,323,317,,1.27%
8/7/2023,322,321,323.25,319.5,,0.63%
8/8/2023,319.5,322,322.25,319,,-0.78%
8/9/2023,319.5,320.25,321.25,317.5,,0.00%
8/10/2023,319,319.5,320.5,319,,-0.16%
8/11/2023,319,319.75,320.25,319.125,,0.00%
8/14/2023,321,320,321.75,319.5,,0.63%
8/15/2023,320,322,322,320,,-0.31%
8/16/2023,321,320.25,321.625,319.5,,0.31%
8/17/2023,321.5,321,322.5,320.5,,0.16%
8/18/2023,323,322,324.25,322,,0.47%
8/21/2023,323,324,324.35,322.75,,0.00%
8/22/2023,323.5,323.75,324.5,322,,0.15%
8/23/2023,323,323.5,324.5,323.25,,-0.15%
8/24/2023,323,324,324.5,323.5,,0.00%
8/25/2023,323,324,324.5,323.5,,0.00%
8/28/2023,323.75,324,324.5,323.45,,0.23%
8/29/2023,320.5,323.75,324.25,320.5,,-1.00%
8/30/2023,321.758,321.45,321.758,319.642,,0.39%
8/31/2023,318.5,320.5,320.5,318.5,,-1.01%
9/1/2023,318.5,319.5,319.675,318,,0.00%
9/4/2023,320,319.125,320.75,318.5,,0.47%
9/5/2023,321,320.25,322.4,318.5,,0.31%
9/6/2023,321,321.5,322.5,320.5,,0.00%
9/7/2023,322,322.25,322.725,321.875,,0.31%
9/8/2023,321,322,322.5,321.125,,-0.31%
9/11/2023,321,321.75,322.625,321.325,,0.00%
9/12/2023,322.25,321.875,322.875,321.75,,0.39%
9/13/2023,322,322,323.875,321.75,,-0.08%
9/14/2023,323,323.5,324.25,322.75,,0.31%
9/15/2023,322.75,323.25,323.625,322.5,,-0.08%
9/18/2023,324.25,323.5,324.625,323.125,,0.46%
9/19/2023,324,323.75,325,323.75,,-0.08%
9/20/2023,324,324.5,325,324.25,,0.00%
9/21/2023,323.5,324.5,325.275,323.125,,-0.15%
9/22/2023,324,324.25,325,323.875,,0.15%
9/25/2023,324,324.5,325.25,324.125,,0.00%
9/26/2023,323.5,324.25,324.5,323.75,,-0.15%
9/27/2023,323.75,323.75,324.125,322.5,,0.08%
9/28/2023,324.326,324.201,325.05,324.201,,0.18%
9/29/2023,324.604,324.326,324.604,323.514,,0.09%
10/2/2023,324.1,324,324.55,323.5,,-0.16%
10/3/2023,323.5,324,324.25,323.45,,-0.19%
10/4/2023,323.25,324,324.15,323.375,,-0.08%
10/5/2023,323.95,323.5,324.1,323.375,,0.22%
10/6/2023,323.75,323.5,324.2,323.35,,-0.06%
10/9/2023,323.5,323.625,324,323.25,,-0.08%
10/10/2023,323.5,323.7,323.75,323.125,,0.00%
10/11/2023,323.6,323.5,324.05,323.25,,0.03%
10/12/2023,323.25,323.8,323.925,323.25,,-0.11%
